Education	Politics	Count
None	StrongDemocrat	97
None	WeakDemocrat	115
None	NearDemocrat	67
None	NearRepublican	39
None	WeakRepublican	56
None	StrongRepublican	40
HighSchool	StrongDemocrat	347
HighSchool	WeakDemocrat	384
HighSchool	NearDemocrat	265
HighSchool	NearRepublican	168
HighSchool	WeakRepublican	307
HighSchool	StrongRepublican	256
JrCollege	StrongDemocrat	54
JrCollege	WeakDemocrat	52
JrCollege	NearDemocrat	50
JrCollege	NearRepublican	28
JrCollege	WeakRepublican	64
JrCollege	StrongRepublican	37
Bachelor	StrongDemocrat	110
Bachelor	WeakDemocrat	116
Bachelor	NearDemocrat	87
Bachelor	NearRepublican	60
Bachelor	WeakRepublican	158
Bachelor	StrongRepublican	118
Graduate	StrongDemocrat	91
Graduate	WeakDemocrat	69
Graduate	NearDemocrat	58
Graduate	NearRepublican	32
Graduate	WeakRepublican	52
Graduate	StrongRepublican	44
